City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,cudillero,43.5622,-6.1459,22.28,96,100,2.57,ES,1689167399
339,agat village,13.3886,144.6585,26.52,92,100,3.6,GU,1689167401
340,kagoro,9.6,8.3833,28.01,63,90,2.85,NG,1689167403
341,jinja,0.439,33.2032,25.99,51,51,4.04,UG,1689167405
342,bozdogan,37.6713,28.314,35.34,24,0,4.86,TR,1689167406
343,manaus,-3.1019,-60.025,30.28,62,0,3.6,BR,1689167408
344,piacabucu,-10.4056,-36.4344,26.71,67,1,3.29,BR,1689167409
345,kruisfontein,-34.0033,24.7314,16.93,45,5,3.35,ZA,1689167411
346,coxen hole,16.3244,-86.5366,30.2,83,75,6.17,HN,1689167392
347,phaltan,17.9833,74.4333,26.67,62,100,4.59,IN,1689167358
348,piti village,13.4626,144.6933,26.49,91,100,3.6,GU,1689167415
349,chibougamau,49.9168,-74.3659,15.79,63,100,2.57,CA,1689167416
350,hatillo,18.4863,-66.8254,31.78,91,58,3.58,PR,1689167420
351,buka,40.8108,69.1986,42.44,5,0,5.51,UZ,1689167421
352,ji'an,27.1172,114.9793,31.14,51,100,3.2,CN,1689167422
353,sola,-13.8833,167.55,24.51,67,100,12.14,VU,1689167423
354,zhuanghe,39.7008,122.9911,22.55,90,100,0.79,CN,1689167424
355,aoulef,26.9667,1.0833,45.47,6,0,8.31,DZ,1689167426
356,lubumbashi,-11.6609,27.4794,23.83,30,0,3.54,CD,1689167427
357,"poblacion, san felipe",14.5665,121.0308,26.98,95,75,2.06,PH,1689167428
358,rabo de peixe,37.8,-25.5833,22.73,88,40,6.69,PT,1689167430
359,khamis mushait,18.3064,42.7292,33.58,8,75,6.69,SA,1689167431
360,tolanaro,-25.0319,46.9987,19.3,65,100,4.14,MG,1689167434
361,la foa,-21.7108,165.8276,16.81,67,3,2.85,NC,1689167436
